GS_PCT,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,ALL_STAR,ALL_NBA
0.0,4.8,1.2,2.8,1.1,2.5,0.0,0.2,0.4,0.5,0.2,0.4,0.5,0.4,0.1,0.0,0.7,0.5,2.7,.418,.440,.143,.423,.813,0,0
0.54,25.5,2.9,6.1,2.1,4.0,0.8,2.1,2.0,2.3,0.7,2.0,2.8,2.6,0.9,0.2,1.3,2.0,8.6,.473,.530,.365,.537,.854,0,0
0.12,20.6,4.1,9.4,4.0,9.0,0.1,0.4,1.7,2.2,0.9,1.2,2.1,2.1,0.4,0.2,1.3,1.9,9.9,.435,.449,.138,.438,.778,0,0
0.2,19.8,2.7,6.1,2.0,4.2,0.7,1.9,0.8,1.0,0.7,2.1,2.8,1.3,0.4,0.3,0.9,2.1,7.0,.446,.470,.393,.506,.840,0,0
0.14,12.2,1.6,3.6,1.6,3.5,0.0,0.1,0.6,0.9,0.8,1.8,2.6,0.5,0.1,0.3,0.7,1.9,3.9,.440,.448,.225,.444,.748,0,0
0.08,11.4,1.7,4.1,1.7,4.0,0.0,0.1,0.8,1.0,0.4,0.6,1.0,1.8,0.4,0.1,0.9,1.0,4.2,.414,.421,.071,.415,.820,0,0
0.82,30.5,5.2,12.1,4.9,11.0,0.3,1.1,2.5,3.4,1.3,2.8,4.1,3.0,1.6,0.4,1.8,2.6,13.4,.434,.448,.300,.448,.754,0,0
0.24,16.7,3.4,7.9,3.3,7.3,0.1,0.5,0.8,1.2,1.1,1.4,2.5,1.5,0.6,0.3,0.9,1.8,7.7,.433,.448,.236,.442,.643,0,0
0.0,2.0,0.5,1.1,0.5,1.0,0.0,0.1,0.3,0.4,0.0,0.2,0.2,0.0,0.1,0.4,0.0,0.5,1.2,.417,.455,.000,.417,.750,0,0
0.03,8.3,0.8,2.0,0.8,1.8,0.0,0.2,0.8,1.1,0.7,0.9,1.6,0.6,0.3,0.1,0.5,1.0,2.4,.404,.435,.167,.413,.713,0,0
0.01,9.6,1.1,2.7,0.6,1.6,0.4,1.0,0.5,0.6,0.2,0.5,0.7,2.0,0.4,0.0,0.7,1.2,3.1,.403,.384,.432,.486,.869,0,0
0.12,15.2,2.5,5.9,2.1,4.6,0.4,1.3,0.7,0.9,0.5,1.3,1.8,1.0,0.3,0.1,1.1,1.6,6.3,.428,.459,.321,.464,.850,0,0
0.76,28.0,3.5,7.0,3.5,7.0,0.0,0.0,2.3,3.6,3.0,5.6,8.6,0.8,0.8,0.5,1.6,3.6,9.4,.502,.503,.000,.502,.643,1,0
0.16,16.7,2.0,5.1,1.2,2.9,0.8,2.3,0.7,0.9,0.5,1.3,1.8,1.2,0.6,0.1,0.8,1.7,5.5,.391,.420,.353,.469,.764,0,0
0.0,6.6,1.4,3.5,1.2,2.9,0.1,0.5,0.5,0.6,0.3,0.5,0.9,0.7,0.3,0.0,0.5,0.7,3.4,.392,.413,.277,.413,.860,0,0
0.11,12.8,2.2,5.4,1.5,3.5,0.7,1.9,0.9,1.1,0.5,1.0,1.5,0.4,0.2,0.1,0.6,1.4,6.1,.414,.434,.378,.481,.810,0,0
0.0,3.7,0.4,1.2,0.4,1.1,0.0,0.0,0.3,0.4,0.6,0.7,1.3,0.0,0.0,0.2,0.1,0.6,1.0,.333,.345,.000,.333,.650,0,0
0.11,14.0,2.0,4.8,2.0,4.6,0.0,0.1,1.1,1.4,1.2,2.3,3.6,0.4,0.2,0.3,0.9,2.1,5.2,.426,.426,.417,.431,.744,0,0
